Date,PY_Crypto_Market_Index_Rebalanced,CoinsInIndex
2014-08-02,-0.004535712541612878,bitcoin
2014-08-03,0.0036002768068190073,bitcoin
2014-08-04,-0.005699141865000959,bitcoin
2014-08-05,-0.0013382898368346015,bitcoin
2014-08-06,0.007185244819450757,bitcoin
2014-08-07,0.006277087309436514,bitcoin
2014-08-08,-0.005423287889327893,bitcoin
2014-08-09,0.002861604208116898,bitcoin
2014-08-10,-0.025172870643514672,bitcoin
2014-08-11,-0.011738168634877543,bitcoin
2014-08-12,-0.04118472892008228,bitcoin
2014-08-13,-0.07733813234959845,bitcoin
2014-08-14,-0.017875116370690516,bitcoin
2014-08-15,0.04465696415739027,bitcoin
2014-08-16,-0.05520514012523016,bitcoin
2014-08-17,-0.06366663251949554,bitcoin
2014-08-18,0.05025855018654085,bitcoin
2014-08-19,0.05363167526854329,bitcoin
2014-08-20,0.010215599216305618,bitcoin
2014-08-21,-0.006194204964685496,bitcoin
2014-08-22,-0.031556284883379894,bitcoin
2014-08-23,0.020293609814776556,bitcoin
2014-08-24,-0.011456618342706094,bitcoin
2014-08-25,0.01789675866495098,bitcoin
2014-08-26,-8.154548229564328e-4,bitcoin
2014-08-27,-0.006551775086690931,bitcoin
2014-08-28,0.0013814304001683287,bitcoin
2014-08-29,-0.008428463582594489,bitcoin
2014-08-30,-0.05395538499161026,bitcoin
2014-08-31,-0.006054764542059595,bitcoin
2014-09-01,0.005349133235752608,bitcoin
2014-09-02,3.3508199855411856e-4,bitcoin
2014-09-03,0.024967034839240607,bitcoin
2014-09-04,-0.012986780848225004,bitcoin
2014-09-05,0.0030737869931300103,bitcoin
2014-09-06,-0.005277543675189688,bitcoin
2014-09-07,-0.016048385795818063,bitcoin
2014-09-08,0.001389686390187135,bitcoin
2014-09-09,0.008587769854760485,bitcoin
2014-09-10,8.132226018290133e-4,bitcoin
2014-09-11,-0.00416919259183722,bitcoin
2014-09-12,0.002610959212517341,bitcoin
2014-09-13,-0.002320040365291864,bitcoin
2014-09-14,-0.005289205538501076,bitcoin
2014-09-15,-0.019787597516086133,bitcoin
2014-09-16,-0.018893949002992134,bitcoin
2014-09-17,-0.0746433511491128,bitcoin
2014-09-18,-0.07240150831605888,bitcoin
2014-09-19,0.03511123892412099,bitcoin
2014-09-20,-0.02496765857307395,bitcoin
2014-09-21,0.00831741584768308,bitcoin
2014-09-22,0.0803325898083584,bitcoin
2014-09-23,-0.029306072957966705,bitcoin
2014-09-24,-0.02786781719313527,bitcoin
2014-09-25,-0.017522571265203707,bitcoin
2014-09-26,-0.012202475999449059,bitcoin
2014-09-27,-0.057538621345135876,bitcoin
2014-09-28,-0.004554565208366319,bitcoin
2014-09-29,0.030109367868566668,bitcoin
2014-09-30,-0.008640560327246577,bitcoin
2014-10-01,-0.022521436563671993,bitcoin
2014-10-02,-0.042370445494239344,bitcoin
2014-10-03,-0.08909717316308485,bitcoin
2014-10-04,-0.025736857208570506,bitcoin
2014-10-05,0.029418542484264783,bitcoin
2014-10-06,0.018335537549814533,bitcoin
2014-10-07,0.04863049010736533,bitcoin
2014-10-08,0.033670508865278816,bitcoin
2014-10-09,-0.009535019685834064,bitcoin
2014-10-10,0.0020363018397170983,bitcoin
2014-10-11,0.043875683802521714,bitcoin
2014-10-12,0.030862165749518135,bitcoin
2014-10-13,0.02642945473548083,bitcoin
2014-10-14,-0.015326230901988007,bitcoin
2014-10-15,-0.03143589499603192,bitcoin
2014-10-16,0.0031370869973509708,bitcoin
2014-10-17,0.01982518661865943,bitcoin
2014-10-18,-0.004855387987248492,bitcoin
2014-10-19,-0.01735172205263542,bitcoin
2014-10-20,0.009436987957940542,bitcoin
2014-10-21,-0.008619789324230642,bitcoin
2014-10-22,-0.06675031813656661,bitcoin
2014-10-23,-2.0087830466501724e-4,bitcoin
2014-10-24,-0.031390769190061896,bitcoin
2014-10-25,0.02117822335213125,bitcoin
2014-10-26,-0.004846733365265389,bitcoin
2014-10-27,0.013028475982747301,bitcoin
2014-10-28,-0.06357224291080754,bitcoin
2014-10-29,0.028534896464053154,bitcoin
2014-10-30,-0.02043287172526377,bitcoin
2014-10-31,-0.03786806709063409,bitcoin
2014-11-01,4.3890846439832937e-4,bitcoin
2014-11-02,0.005086850113050323,bitcoin
2014-11-03,0.00892958354272898,bitcoin
2014-11-04,0.026850220194618638,bitcoin
2014-11-05,0.02846986043928762,bitcoin
2014-11-06,-0.019879070506612667,bitcoin
2014-11-07,0.008934452738106696,bitcoin
2014-11-08,0.050171934079748105,bitcoin
2014-11-09,0.010024909256209009,bitcoin
2014-11-10,0.0020990373440050456,bitcoin
2014-11-11,0.14144374235961832,bitcoin
2014-11-12,-0.006694405456418829,bitcoin
2014-11-13,-0.05600854991385087,bitcoin
2014-11-14,-0.05605180451605699,bitcoin
2014-11-15,0.030758347508822507,bitcoin
2014-11-16,-0.001222765922151031,bitcoin
2014-11-17,-0.032024492730140096,bitcoin
2014-11-18,0.01417681283698561,bitcoin
2014-11-19,-0.06154474536823563,bitcoin
2014-11-20,-0.01973289061364402,bitcoin
2014-11-21,0.005888382124290952,bitcoin
2014-11-22,0.04068049266763092,bitcoin
2014-11-23,0.025060623015401295,bitcoin
2014-11-24,-0.0041289819040975315,bitcoin
2014-11-25,-0.01876571959489061,bitcoin
2014-11-26,0.0035228975122521106,bitcoin
2014-11-27,0.01816649098498885,bitcoin
2014-11-28,-0.002542747360248534,bitcoin
2014-11-29,0.0067840230425822365,bitcoin
2014-11-30,0.0031639025861010042,bitcoin
2014-12-01,0.00544339024434925,bitcoin
2014-12-02,-0.016673093272971323,bitcoin
2014-12-03,-0.01452054553376563,bitcoin
2014-12-04,0.01942568211280554,bitcoin
2014-12-05,-0.005505316911596598,bitcoin
2014-12-06,8.26792484772563e-4,bitcoin
2014-12-07,-0.035786540910264876,bitcoin
2014-12-08,-0.027139664971780157,bitcoin
2014-12-09,-0.01676002046463913,bitcoin
2014-12-10,0.011884754732814959,bitcoin
2014-12-11,0.005791883069562527,bitcoin
2014-12-12,-0.01476195475679966,bitcoin
2014-12-13,0.012177354377900598,bitcoin
2014-12-14,-0.018041220652273933,bitcoin
2014-12-15,-0.05439412969719031,bitcoin
2014-12-16,-0.02252903746858747,bitcoin
2014-12-17,-0.026555352175307613,bitcoin
2014-12-18,0.020492107904664634,bitcoin
2014-12-19,0.03740178353674473,bitcoin
2014-12-20,-0.028007426419124383,bitcoin
2014-12-21,0.03383962868139881,bitcoin
2014-12-22,0.0080605807817817135,bitcoin
2014-12-23,-0.03664352960543368,bitcoin
2014-12-24,-0.010992379373339278,bitcoin
2014-12-25,0.02756574140127004,bitcoin
2014-12-26,-0.037473312321261755,bitcoin
2014-12-27,0.004346879974276205,bitcoin
2014-12-28,-0.014507111911687232,bitcoin
2014-12-29,-0.006201470534979344,bitcoin
2014-12-30,0.02997702396528112,bitcoin
2014-12-31,-0.018738274882398463,bitcoin
2015-01-01,0.002488619285906915,bitcoin
2015-01-02,-0.1140278177248741,bitcoin
2015-01-03,-0.061958949741237106,bitcoin
2015-01-04,0.038169040661944036,bitcoin
2015-01-05,0.04179588027710693,bitcoin
2015-01-06,0.028072972952727333,bitcoin
2015-01-07,-0.038046038508248475,bitcoin
2015-01-08,0.02460744467281687,bitcoin
2015-01-09,-0.055257826856217995,bitcoin
2015-01-10,-0.03381165828593181,bitcoin
2015-01-11,0.008008149758007123,bitcoin
2015-01-12,-0.1703057269491868,bitcoin
2015-01-13,-0.23755771549496746,bitcoin
2015-01-14,0.16400235279375178,bitcoin
2015-01-15,-0.008360051860537825,bitcoin
2015-01-16,-0.04339384068762892,bitcoin
2015-01-17,0.05411005929735446,bitcoin
2015-01-18,0.021270735850296933,bitcoin
2015-01-19,-0.016641349425586174,bitcoin
2015-01-20,0.07114626123189889,bitcoin
2015-01-21,0.028283267564135618,bitcoin
2015-01-22,-0.002260455631056658,bitcoin
2015-01-23,0.06229262485500043,bitcoin
2015-01-24,0.02341180237978308,bitcoin
2015-01-25,0.07497944406551525,bitcoin
2015-01-26,-0.03724435725066398,bitcoin
2015-01-27,-0.11900073718372522,bitcoin
2015-01-28,-0.0017200206331716495,bitcoin
2015-01-29,-0.03082397442928324,bitcoin
2015-01-30,-0.04038043738192207,bitcoin
2015-01-31,0.04279332203645734,bitcoin
2015-02-01,0.048405749945781354,bitcoin
2015-02-02,-0.047102450864592436,bitcoin
2015-02-03,-0.0018277448452071285,bitcoin
2015-02-04,-0.04389350799366022,bitcoin
2015-02-05,0.023466183275763927,bitcoin
2015-02-06,0.024391197543775,bitcoin
2015-02-07,-0.01924847747993695,bitcoin
2015-02-08,-0.014890187808492874,bitcoin
2015-02-09,-0.001231943361234132,bitcoin
2015-02-10,-0.0029793698690313447,bitcoin
2015-02-11,0.01169767654816758,bitcoin
2015-02-12,0.059787107445462194,bitcoin
2015-02-13,0.08892349379437395,bitcoin
2015-02-14,-0.0914838458403914,bitcoin
2015-02-15,-0.004190582960648084,bitcoin
2015-02-16,0.040918628478070776,bitcoin
2015-02-17,-0.03035636359301185,bitcoin
2015-02-18,0.01660519034163723,bitcoin
2015-02-19,0.014444690551721864,bitcoin
2015-02-20,0.0030922388718868645,bitcoin
2015-02-21,-0.03561998071571633,bitcoin
2015-02-22,0.012277195944182395,bitcoin
2015-02-23,-6.574070838349864e-4,bitcoin
2015-02-24,-0.00531284787165597,bitcoin
2015-02-25,-0.004406063968808295,bitcoin
2015-02-26,0.0710216429479157,bitcoin
2015-02-27,0.0017122824925255506,bitcoin
2015-02-28,0.023089070174478074,bitcoin
2015-03-01,0.05774631039696753,bitcoin
2015-03-02,0.021645212985104193,bitcoin
2015-03-03,-0.031040986682631083,bitcoin
2015-03-04,0.011236844892179626,bitcoin
2015-03-05,-0.012589019563725018,bitcoin
2015-03-06,0.012889423033504419,bitcoin
2015-03-07,-0.0069267640016226545,bitcoin
2015-03-08,0.05410555539095329,bitcoin
2015-03-09,0.007406767027779299,bitcoin
2015-03-10,0.015707453323919835,bitcoin
2015-03-11,-0.006855895378516471,bitcoin
2015-03-12,-0.031112180379632155,bitcoin
2015-03-13,-0.012171736547564786,bitcoin
2015-03-14,0.015865791211336064,bitcoin
2015-03-15,0.014558606023232638,bitcoin
2015-03-16,-0.017664059044655404,bitcoin
2015-03-17,-0.10791478367723599,bitcoin
2015-03-18,0.01789976631364528,bitcoin
2015-03-19,0.003141460438501996,bitcoin
2015-03-20,-0.006608245488347911,bitcoin
2015-03-21,0.030059926984898056,bitcoin
2015-03-22,-0.004563319168035815,bitcoin
2015-03-23,-0.0825905218533725,bitcoin
2015-03-24,0.002448211017963904,bitcoin
2015-03-25,0.009439546802109426,bitcoin
2015-03-26,-0.0060658337403100195,bitcoin
2015-03-27,0.023085000457146777,bitcoin
2015-03-28,-0.04071110245978894,bitcoin
2015-03-29,0.019635966134757273,bitcoin
2015-03-30,-0.01342979799489767,bitcoin
2015-03-31,0.012403125199210888,bitcoin
2015-04-01,0.022920312531175935,bitcoin
2015-04-02,0.005191934481728019,bitcoin
2015-04-03,-0.002460539074354607,bitcoin
2015-04-04,0.02683829306371009,bitcoin
2015-04-05,-0.01978784394929125,bitcoin
