Date,PY_Crypto_Market_Index,CoinsInIndex
2013-08-28,-0.0018775023269123363,bitcoin
2013-08-29,0.08681394741137656,bitcoin
2013-08-30,0.013837451336221197,bitcoin
2013-08-31,0.021850335546192753,bitcoin
2013-09-01,-0.01816301590011666,bitcoin
2013-09-02,0.006749333331449582,bitcoin
2013-09-03,-0.07616298709164283,bitcoin
2013-09-04,-0.0024489293026017183,bitcoin
2013-09-05,-0.059305581386492896,bitcoin
2013-09-06,0.04110730789365544,bitcoin
2013-09-07,-0.02026022525129252,bitcoin
2013-09-08,0.04382255911505702,bitcoin
2013-09-09,-0.009485463010047834,bitcoin
2013-09-10,0.07155752262792145,bitcoin
2013-09-11,-0.015798786605833483,bitcoin
2013-09-12,0.013800456541665094,bitcoin
2013-09-13,-0.04361020008572314,bitcoin
2013-09-14,0.008860136644585521,bitcoin
2013-09-15,0.010301942554264044,bitcoin
2013-09-16,-4.5559692099257784e-4,bitcoin
2013-09-17,-0.0014441718610355044,bitcoin
2013-09-18,-0.013940233085593595,bitcoin
2013-09-19,-0.020336460202709936,bitcoin
2013-09-20,0.0030651919140108675,bitcoin
2013-09-21,0.013174970086424724,bitcoin
2013-09-22,-0.024857188137284075,bitcoin
2013-09-23,0.01026867686226332,bitcoin
2013-09-24,0.007593892648834636,bitcoin
2013-09-25,0.001247105838126133,bitcoin
2013-09-26,0.04120199664798664,bitcoin
2013-09-27,0.007447159895509421,bitcoin
2013-09-28,0.018815766066958586,bitcoin
2013-09-29,-0.032110448306293976,bitcoin
2013-09-30,-0.006184553590251959,bitcoin
2013-10-01,-0.14682644913153264,bitcoin
2013-10-02,0.07995508630257585,bitcoin
2013-10-03,0.042596666354854436,bitcoin
2013-10-04,-0.003571920705322374,bitcoin
2013-10-05,0.0034944469095950694,bitcoin
2013-10-06,-0.016097851250639863,bitcoin
2013-10-07,-0.007432646159554235,bitcoin
2013-10-08,0.03654621833831419,bitcoin
2013-10-09,-7.655091002058121e-4,bitcoin
2013-10-10,0.002371010099070477,bitcoin
2013-10-11,0.03224758814668488,bitcoin
2013-10-12,0.02151409162583456,bitcoin
2013-10-13,0.01715455174137393,bitcoin
2013-10-14,0.033037726565120745,bitcoin
2013-10-15,-0.01869474760036179,bitcoin
2013-10-16,0.02562464934465663,bitcoin
2013-10-17,0.06428212105128835,bitcoin
2013-10-18,0.10033374299852708,bitcoin
2013-10-19,0.012621568868045501,bitcoin
2013-10-20,0.04260498587900447,bitcoin
2013-10-21,0.061460346545413824,bitcoin
2013-10-22,0.09757846134989387,bitcoin
2013-10-23,-0.07477076165526564,bitcoin
2013-10-24,-0.05997845082234313,bitcoin
2013-10-25,-0.051493449144692754,bitcoin
2013-10-26,0.10240100241742892,bitcoin
2013-10-27,0.010683919348429924,bitcoin
2013-10-28,0.028988957519542995,bitcoin
2013-10-29,-0.0218625690659119,bitcoin
2013-10-30,0.019952632442889126,bitcoin
2013-10-31,0.010629544300692453,bitcoin
2013-11-01,1.9402786429499434e-4,bitcoin
2013-11-02,0.04192700741165954,bitcoin
2013-11-03,0.06328804267979073,bitcoin
2013-11-04,0.06807872919311503,bitcoin
2013-11-05,0.06801373673790927,bitcoin
2013-11-06,0.12149256136761259,bitcoin
2013-11-07,0.1316275996010049,bitcoin
2013-11-08,0.0029532523258870456,bitcoin
2013-11-09,-0.03752709462706834,bitcoin
2013-11-10,0.04729906630459449,bitcoin
2013-11-11,0.05092377396579188,bitcoin
2013-11-12,0.12270161042315701,bitcoin
2013-11-13,0.031008966068693827,bitcoin
2013-11-14,-0.0053689801093441385,bitcoin
2013-11-15,0.05191276737488211,bitcoin
2013-11-16,0.11142763424500933,bitcoin
2013-11-17,0.35745091832215853,bitcoin
2013-11-18,-0.18520822410660956,bitcoin
2013-11-19,0.010583423710938993,bitcoin
2013-11-20,0.2010921624430345,bitcoin
2013-11-21,0.06563838202543824,bitcoin
2013-11-22,0.0336241159100759,bitcoin
